Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
September 2025,,9.80 X 2.70,9.8,2.7,Poly + Paper,---,---,0.4,Copper,145.2,153,7.8,,5.371900826,203
September 2025,,9.95 X 2.00,9.95,2.0,Poly + Paper,0.4,---,0.4,Copper,571.5,594,22.5,2.1,3.937007874,218
November 2025,,10.00 X 2.60,10.0,2.6,Poly + Paper,---,---,0.38-.40,Copper,148.6,152.3,3.7,1.5,2.489905787,300
November 2025,,10.00 X 2.80,10.0,2.8,DPC,0.35,---,0.35,Copper,106.4,109.5,3.1,1,2.913533835,315
July 2025,,10.00 X 3.00,10.0,3.0,Poly + Paper,1,poly,2,Copper,72.6,76.6,4,1.2,5.509641873,114
July 2025,,10.00 X 3.60,10.0,3.6,Poly + Paper,1,poly,2,Copper,86.4,92.8,6.4,1.7,7.407407407,127
November 2025,,10.20 X 1.70,10.2,1.7,Poly + Paper,0.4,---,0.4,Copper,662.9,691.1,28.2,4.2,4.254035299,319
May 2025,2,10.21 X 3.10,10.21,3.1,Paper,0.3,---,0.3,Copper,215.4,219.6,4.2,2.2,1.949860724,34
November 2025,,10.25 X 2.55,10.25,2.55,DPC,0.3,---,0.3,Copper,92.1,94,1.9,0.9,2.062975027,289
September 2025,,10.70 X 2.115,10.7,2.115,Paper,0.35,---,0.35,Copper,577.05,594.4,17.35,0.95,3.006671866,204
June 2025,3,10.70 X 3.00,10.7,3.0,Paper,0.4,---,0.4,Copper,0,#DIV/0!,,,,
July 2025,2,11.00 X 2.80,11.0,2.8,Paper,0.35,---,0.35,Copper,164,172.9,8.9,3,5.426829268,146
August 2025,2,11.20 X 3.30,11.2,3.3,Paper,0.4,---,0.4,Copper,344.3,354.7,10.4,357,3.020621551,173
October 2025,,11.40 X 2.60,11.4,2.6,Poly + Paper,---,---,0.37-.40,Copper,123.1,u,#VALUE!,0.9,#VALUE!,255
July 2025,2,11.50 X 2.75,11.5,2.75,Paper,0.4,---,0.4,Copper,344.7,352.7,8,4.3,2.320858718,144
November 2025,,11.80 X 2.30,11.8,2.3,Poly + Paper,---,---,0.38-.40,Copper,120.6,122.6,2,2.2,1.658374793,300
August 2025,,13.60 X 4.60,13.6,4.6,Poly + Paper,0.4,---,0.4,Copper,27.1,27.9,0.8,0.9,2.95202952,199
September 2025,,14.40 X 3.25,14.4,3.25,Poly + Paper,---,---,0.35,Copper,?,376.9,?,1.6,#VALUE!,204
