Month,Covering_No,Size,Wire_Value,Wire_Unit,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
May 2022,4,4.40 mm,4.40,mm,Poly,0.5,---,0.5,Aluminium,140,159.8,19.8,1.5,14.14285714,45/59
July 2025,4,4.40 mm,4.40,mm,Poly,0.5,---,0.5,Aluminium,362.6,407.7,45.1,2.9,12.43794815,113
April 2025,4,4.47 mm,4.47,mm,Poly,50,---,50,Aluminium,302.4,339.4,37,2.7,12.23544974,16
May 2022,4,5.00 mm,5.00,mm,Poly,0.5,---,0.5,Aluminium,142,159.4,17.4,1,12.25352113,59
